epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.4837,1.55117,2.24523,1.44739,0.71763,0.65254,0.71763,0.3743,1.55252,1.43452,1.53918,0.000656863,0.000656863,0.000656863
2,52.6455,1.4981,1.04225,1.40007,0.27259,0.5,0.18939,0.09754,1.72488,5.3606,2.02248,0.00129732,0.00129732,0.00129732
3,77.7349,1.51358,0.99947,1.40834,0.76886,0.76695,0.81014,0.43699,1.51772,1.68698,1.54606,0.00191138,0.00191138,0.00191138
4,102.812,1.48668,1.0093,1.41142,0.87323,0.86441,0.89515,0.50358,1.49008,2.10118,1.507,0.0018812,0.0018812,0.0018812
5,127.927,1.47526,0.93213,1.41681,0.72233,0.79661,0.73478,0.40948,1.52161,1.17151,1.48376,0.0018416,0.0018416,0.0018416
6,152.94,1.44767,0.85944,1.38036,0.92933,0.8637,0.92412,0.51191,1.54218,0.82867,1.51031,0.001802,0.001802,0.001802
7,178.036,1.4695,0.87582,1.38605,0.95627,0.93644,0.96792,0.52644,1.54044,0.87421,1.52411,0.0017624,0.0017624,0.0017624
8,203.255,1.45697,0.84587,1.37221,0.84384,0.70551,0.7883,0.44682,1.53972,1.07889,1.56571,0.0017228,0.0017228,0.0017228
9,228.135,1.44773,0.83101,1.35924,0.86789,0.93644,0.87934,0.49138,1.47191,0.84644,1.46581,0.0016832,0.0016832,0.0016832
10,253.243,1.39744,0.78715,1.3585,0.89949,0.92373,0.93197,0.43795,1.74613,0.81084,1.68279,0.0016436,0.0016436,0.0016436
11,278.296,1.40111,0.7565,1.3264,0.95927,0.94818,0.9687,0.55613,1.43675,0.67463,1.41755,0.001604,0.001604,0.001604
12,303.555,1.41076,0.76175,1.34797,0.95289,0.94269,0.97337,0.55881,1.45891,0.69851,1.42206,0.0015644,0.0015644,0.0015644
13,328.462,1.38952,0.72826,1.32717,0.9612,0.94703,0.9704,0.55813,1.42518,0.63727,1.41448,0.0015248,0.0015248,0.0015248
14,353.281,1.36583,0.71214,1.3374,0.96439,0.94915,0.97077,0.55619,1.45678,0.64048,1.42057,0.0014852,0.0014852,0.0014852
15,378.061,1.38616,0.73479,1.36161,0.92462,0.91525,0.9566,0.54357,1.45607,0.67425,1.45268,0.0014456,0.0014456,0.0014456
16,402.875,1.3595,0.69519,1.31644,0.94188,0.95551,0.97221,0.55644,1.45555,0.59678,1.4506,0.001406,0.001406,0.001406
17,428.031,1.32884,0.69051,1.30104,0.96317,0.9661,0.97936,0.59292,1.40137,0.57061,1.39206,0.0013664,0.0013664,0.0013664
18,453.127,1.32477,0.69679,1.3049,0.96351,0.95094,0.98566,0.59259,1.3946,0.56313,1.39422,0.0013268,0.0013268,0.0013268
19,477.983,1.29203,0.65555,1.28685,0.96442,0.95975,0.9827,0.59124,1.37581,0.57507,1.39303,0.0012872,0.0012872,0.0012872
20,502.949,1.30219,0.63913,1.30136,0.95081,0.98279,0.98237,0.59092,1.40558,0.57102,1.39567,0.0012476,0.0012476,0.0012476
21,528.205,1.30654,0.63576,1.2856,0.96199,0.97034,0.98698,0.59582,1.39656,0.55327,1.38473,0.001208,0.001208,0.001208
22,552.995,1.29516,0.64752,1.27741,0.97054,0.95551,0.98407,0.59259,1.42689,0.55308,1.37735,0.0011684,0.0011684,0.0011684
23,577.838,1.31034,0.6318,1.2904,0.96205,0.96666,0.98223,0.60963,1.37356,0.55219,1.34804,0.0011288,0.0011288,0.0011288
24,602.756,1.27748,0.62952,1.28616,0.97146,0.96398,0.97729,0.58756,1.40161,0.55967,1.39497,0.0010892,0.0010892,0.0010892
25,627.489,1.27353,0.63422,1.26674,0.95595,0.96558,0.97645,0.5941,1.39488,0.55003,1.3854,0.0010496,0.0010496,0.0010496
26,652.333,1.26267,0.61066,1.25768,0.95424,0.97034,0.97938,0.59745,1.40387,0.53137,1.39181,0.00101,0.00101,0.00101
27,677.212,1.26002,0.59504,1.25589,0.96809,0.97881,0.98297,0.60042,1.38516,0.52462,1.35813,0.0009704,0.0009704,0.0009704
28,702.141,1.21047,0.58074,1.22825,0.96935,0.96398,0.98729,0.59846,1.39233,0.52269,1.38787,0.0009308,0.0009308,0.0009308
29,727.099,1.25466,0.58542,1.24525,0.96177,0.98093,0.98162,0.58527,1.39503,0.53246,1.38393,0.0008912,0.0008912,0.0008912
30,752.245,1.23759,0.58942,1.24449,0.97608,0.97034,0.98557,0.60352,1.39653,0.50968,1.37963,0.0008516,0.0008516,0.0008516
31,777.043,1.22783,0.56729,1.22975,0.96854,0.97825,0.98241,0.59274,1.42391,0.50778,1.42432,0.000812,0.000812,0.000812
32,801.755,1.20794,0.56076,1.23277,0.96464,0.98255,0.97812,0.59008,1.438,0.52666,1.41764,0.0007724,0.0007724,0.0007724
33,826.864,1.20549,0.56308,1.22495,0.96774,0.97669,0.98553,0.6077,1.39766,0.50862,1.38791,0.0007328,0.0007328,0.0007328
34,851.666,1.20962,0.56089,1.22528,0.9667,0.984,0.98977,0.5988,1.42516,0.50156,1.38915,0.0006932,0.0006932,0.0006932
35,876.408,1.18013,0.54883,1.21702,0.96234,0.97453,0.98216,0.59787,1.42173,0.50489,1.4151,0.0006536,0.0006536,0.0006536
36,901.537,1.15737,0.5468,1.20608,0.96254,0.97982,0.97997,0.61363,1.38315,0.5037,1.36466,0.000614,0.000614,0.000614
37,926.375,1.15133,0.5297,1.19154,0.96445,0.97699,0.98588,0.59271,1.42255,0.50622,1.38444,0.0005744,0.0005744,0.0005744
38,951.056,1.15508,0.52841,1.19795,0.96549,0.98305,0.98278,0.60552,1.39898,0.5024,1.37933,0.0005348,0.0005348,0.0005348
39,975.912,1.13551,0.52045,1.1847,0.96959,0.98729,0.99115,0.6092,1.41524,0.49002,1.38228,0.0004952,0.0004952,0.0004952
40,1000.66,1.1349,0.51528,1.19418,0.97099,0.97458,0.97733,0.59274,1.43353,0.50034,1.41087,0.0004556,0.0004556,0.0004556
41,1027.37,1.10355,0.46208,1.19687,0.98003,0.97881,0.9914,0.61018,1.4044,0.49193,1.38515,0.000416,0.000416,0.000416
42,1052.3,1.10636,0.45143,1.20095,0.97306,0.97669,0.98964,0.61484,1.39817,0.4846,1.378,0.0003764,0.0003764,0.0003764
